Year,State,District,Quarter,House_Type,Interest_Rate,Inflation_Rate,GDP,Unemployment_Rate,Population,House_Overhang,House_Price,House_Supply
2015,Johor,Kota Tinggi,3,Semi-Detached House,3.21,3.83,297965,3.1,213.9,0,305000,4400
2015,Johor,Kota Tinggi,3,Terraced House,3.21,3.83,297965,3.1,213.9,0,190000,28718
2015,Johor,Kota Tinggi,3,Town House,3.21,3.83,297965,3.1,213.9,0,,0
2015,Johor,Kota Tinggi,4,Cluster House,3.16,3.6,307745,3.1,213.9,0,,156
2015,Johor,Kota Tinggi,4,Condominium,3.16,3.6,307745,3.1,213.9,0,85000,0
2015,Johor,Kota Tinggi,4,Detached House,3.16,3.6,307745,3.1,213.9,0,139000,6752
2015,Johor,Kota Tinggi,4,Flat,3.16,3.6,307745,3.1,213.9,0,,560
2015,Johor,Kota Tinggi,4,Semi-Detached House,3.16,3.6,307745,3.1,213.9,0,,4400
2015,Johor,Kota Tinggi,4,Terraced House,3.16,3.6,307745,3.1,213.9,40,196500,29110
2015,Johor,Kota Tinggi,4,Town House,3.16,3.6,307745,3.1,213.9,0,,0
2015,Johor,Kulai,1,Cluster House,3.24,1.1,282255,3.1,78.7,0,550000,235
2015,Johor,Kulai,1,Condominium,3.24,1.1,282255,3.1,78.7,38,90000,0
2015,Johor,Kulai,1,Detached House,3.24,1.1,282255,3.1,78.7,0,177500,3677
2015,Johor,Kulai,1,Flat,3.24,1.1,282255,3.1,78.7,0,90000,857
2015,Johor,Kulai,1,Semi-Detached House,3.24,1.1,282255,3.1,78.7,71,500000,2552
2015,Johor,Kulai,1,Terraced House,3.24,1.1,282255,3.1,78.7,132,270000,44280
2015,Johor,Kulai,1,Town House,3.24,1.1,282255,3.1,78.7,0,170000,225
2015,Johor,Kulai,2,Cluster House,3.23,2.8,288975,3.1,78.7,0,680000,235
2015,Johor,Kulai,2,Condominium,3.23,2.8,288975,3.1,78.7,57,438000,1908
2015,Johor,Kulai,2,Detached House,3.23,2.8,288975,3.1,78.7,0,167500,3677
2015,Johor,Kulai,2,Flat,3.23,2.8,288975,3.1,78.7,0,,857
2015,Johor,Kulai,2,Semi-Detached House,3.23,2.8,288975,3.1,78.7,36,497450,2552
2015,Johor,Kulai,2,Terraced House,3.23,2.8,288975,3.1,78.7,74,240000,44280
2015,Johor,Kulai,2,Town House,3.23,2.8,288975,3.1,78.7,0,330000,225
2015,Johor,Kulai,3,Cluster House,3.21,3.83,297965,3.1,78.7,0,686450,283
